user_name,test_name,test_datetime,part_number,stage_serial
bmowry,Accuracy2D,2025-06-13 07:48:25,PRO165LM-0310,507843-01
nguy,Flatness,2025-06-13 10:04:25,ABL1500-100,516834-01
nguy,Straightness,2025-06-13 10:50:15,ABL1500-100,516834-01
nguy,Straightness,2025-06-13 10:55:43,ABL1500-100,516834-01
nguy,Accuracy,2025-06-13 12:17:03,ABL1500-100,516834-01
nguy,Straightness,2025-06-13 14:02:12,ABL1500-100,516835-01
nguy,Flatness,2025-06-13 14:54:53,ABL1500-100,516835-01
atempalski,Accuracy1DXY,2025-06-16 09:42:49,PlanarDL-300XY-ES20107,517678-02
cdelsignore,SixDegree,2025-06-16 12:47:25,PRO115SL-200,519337-09
cdelsignore,SixDegree,2025-06-16 12:51:42,PRO115SL-200,519337-09
lstahl,Accuracy2D,2025-06-17 09:17:41,642056_lower_12kg_Lower,642056-1-1
lstahl,Accuracy2D,2025-06-17 09:19:11,642056_lower_12kg_Lower,642056-1-1
nguy,Flatness,2025-06-17 11:47:41,ABL1500-100,516836-01
nguy,Straightness,2025-06-17 12:49:42,ABL1500-100,516836-01
nguy,Flatness,2025-06-18 12:28:00,ABL1500-100,516836-01
nguy,Flatness,2025-06-18 12:36:25,ABL1500-100,516836-01
nguy,Flatness,2025-06-18 13:04:22,ABL1500-100,516836-01
nguy,Flatness,2025-06-18 15:13:05,ABL1500-100,516836-01
nguy,Flatness,2025-06-18 15:19:28,ABL1500-100,516836-01
atempalski,SixDegree,2025-06-19 08:37:29,ES16890-66,506095-01
atempalski,SixDegree,2025-06-19 09:04:46,ES16890-66,506095-01
atempalski,Straightness,2025-06-19 09:05:35,ES16890-66,506095-01
atempalski,SixDegree,2025-06-19 09:16:04,ES16890-66,506095-01
atempalski,SixDegree,2025-06-19 09:34:25,ES16890-66,506100-01
atempalski,Accuracy,2025-06-19 09:36:32,ES16890-66,506100-01
atempalski,SixDegree,2025-06-19 09:39:22,ES16890-66,506100-01
atempalski,SixDegree,2025-06-19 09:41:13,ES16890-66,506100-01
atempalski,SixDegree,2025-06-19 09:48:41,ES16890-66,506100-01
atempalski,SixDegree,2025-06-19 09:53:45,ES16890-66,506100-01
atempalski,Flatness,2025-06-19 09:57:35,ES16890-66,506100-01
atempalski,SixDegree,2025-06-19 10:03:59,ES16890-66,506100-01
atempalski,SixDegree,2025-06-19 10:05:04,ES16890-66,506100-01
ddeighan,Accuracy,2025-06-23 10:10:36,MPS75SL-025-ES18998,518176-03
ddeighan,Accuracy,2025-06-23 12:06:25,MPS75SL-025-ES18998,518176-01
