sequence_id,start_time,end_time,num_stops,user_name,test_name,part_number,stage_serial
71,2025-08-18 13:28:41,2025-08-18 13:28:41,1,gschliffka,Accuracy1DXY,ANT130XY-160-E1-CN1-CMS3-MP-PL3-TAC,528707-02
72,2025-09-18 09:45:22,2025-09-23 11:01:12,3,mtrozzi,Accuracy1DXY,PlanarDL-300XY,530967-01
73,2025-09-08 08:45:04,2025-09-08 14:35:56,4,mtrozzi,Accuracy1DXY,PlanarDL-200XY,531236-01
74,2025-08-21 08:16:13,2025-08-21 08:34:41,3,mtrozzi,Accuracy1DXY,ANT130-XY,532426-01
75,2025-08-01 12:31:40,2025-08-01 12:31:40,1,gschliffka,Accuracy2D,PlanarHD-400-400-ES20029,494126-01
76,2025-06-06 12:47:17,2025-06-06 12:47:17,1,atempalski,Accuracy2D,PRO165LM-0310-ES18837-15,507839-03
77,2025-06-02 08:37:41,2025-06-02 11:34:00,2,blamouree,Accuracy2D,PRO165LM-0310-ES18837-15,507842-04
78,2025-06-13 07:48:25,2025-06-13 07:48:25,1,bmowry,Accuracy2D,PRO165LM-0310,507843-01
79,2025-06-05 11:45:13,2025-06-06 14:46:39,2,atempalski,Accuracy2D,PRO165LM-0310-ES18837-15,507843-03
80,2025-06-12 11:57:02,2025-06-12 11:57:02,1,atempalski,Accuracy2D,PRO165LM-0310-ES18837-15,507843-04
81,2025-07-01 13:06:28,2025-07-01 13:06:28,1,gschliffka,Accuracy2D,PRO165LM-0310-ES18837-15,507845-01
82,2025-07-18 08:42:52,2025-07-21 11:16:50,6,nguy,Accuracy2D,ES18837,507845-02
83,2025-07-28 07:23:26,2025-07-28 07:23:26,1,mtrozzi,Accuracy2D,ES18837-6,507845-03
84,2025-07-23 08:53:21,2025-07-24 11:41:50,7,nguy,Accuracy2D,ES18837,507845-04
85,2025-07-11 10:45:17,2025-07-11 10:47:22,2,bmowry,Accuracy2D,PRO165LM-0310,507845-05
86,2025-07-14 12:00:53,2025-07-15 14:26:40,2,nguy,Accuracy2D,ES18837,507846-02
87,2025-07-10 08:19:11,2025-07-10 08:19:33,2,nguy,Accuracy2D,ES18837-6,507846-04
88,2025-07-01 08:13:24,2025-07-01 08:13:24,1,nguy,Accuracy2D,PRO165LM-310-ES18837,507846-05
89,2025-07-14 13:04:13,2025-07-15 13:10:23,5,bmowry,Accuracy2D,PRO165LM-310,508103-01
90,2025-07-17 08:24:19,2025-07-17 12:47:31,2,dyounge,Accuracy2D,ES18837-6,508115-01
91,2025-09-04 12:23:25,2025-09-04 12:27:08,2,blamouree,Accuracy2D,PlanarHD-500-500-ES20058,514870-01
92,2025-09-05 10:05:38,2025-09-05 10:07:05,2,blamouree,Accuracy2D,PlanarHD-500-500-ES20058,514993-01
93,2025-08-01 09:16:05,2025-08-01 09:16:52,2,bmowry,Accuracy2D,ALS20035-ES15925-03,518496-01
